tweet_id,retweet,text,source,screen_name,name,location,description,followers,following,created_at,created_at_seconds,hashtag1,hashtag2,url1,url2,mention1,mention2,lat,lon
251028420761358336,251025954049253376,@IsabelaNarvaez2 @_PaoGarayF Una belieber que justin bieber decia que era su esposa y la mejor amiga de la hermana de justin,web,MafeGonzalezH,Maria Fernanda♡,,#1DJuly23♥ 293e6fc9.,596,478,Fri Aug 12 00:24:32 +0000 2011,1348699214.0,,,,,IsabelaNarvaez2,_PaoGarayF,,
251028422170652672,,Da pena que alguien por cumplir su sueño y ayudar a los demás sea tan criticado como lo es Justin Bieber.,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",CarlotaLoveJB,"Avalanna, our angel.",All Around The World,¿Qué los sueños no se cumplen? El dia 4 de Junio toqué la mano de mi ídolo y el dia 17 me siguió @justinbieber Te amo #NSN ¿Mi inspiración? Kidrauhl.♥,1895,2057,Tue Dec 28 22:11:21 +0000 2010,1348699214.0,,,,,,,42.36702735,-3.65510095
251028425165385728,251027596618391552,@SweattShirtt j'viens de voir c'est un baby qui est mort et qui était fan de justin bieber et dont justin bieber voyait bcp,web,_AliceMp,アリス ∞,"Evreux, France",,903,526,Fri Nov 04 20:39:32 +0000 2011,1348699215.0,,,,,SweattShirtt,,,
251028426352361472,,#20CantantesQueAmo 2. Justin Bieber. &lt;3,web,ohmyselenur_,Dєsтιиу Нοрє †,Distrito 4.,"Always be yourself, there's no one better.       | Bieber, Gomez, Cyrus, Lovato, Hutcherson, Lawrence |                ",1161,1445,Thu Dec 22 14:01:24 +0000 2011,1348699215.0,20CantantesQueAmo,,,,,,,
251028426276868097,251021614949494784,"RT @Top_moppen: 'Baby, baby, baby ooh!' Mam: *komt binnen* Luister je Justin Bieber?! Dochter: Nee, Ik kijk porno.' Mam: OH THANK GOD! # ...","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",klaasjansolle,klaas jan solle,,Its my,54,81,Fri Apr 22 18:10:34 +0000 2011,1348699215.0,,,,,Top_moppen,,,
251028427010887680,,"Justin Bieber, Muerte, Esposa, Avalanna,",web,OneNairo,yeilyn nairobys,,"soy cúls y bonita, ¿Qué más puedo pedir?",135,398,Fri Sep 21 02:48:43 +0000 2012,1348699215.0,,,,,,,,
251028426343976962,251028125381689345,"RT @cyruskidrauhl: Justin perdió a su Mrs Bieber, Jazzy perdió a su mejor amiga, Las beliebers a una hermana, pero nos cuida desde el ci ...","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",_paolagil,FOLLOW ME JUSTIN,En una nube,"03/11 - Latinoamericana. Music, photography, friends, and love ∞  @justinbieber - @ddlovato / Love Kidrauhl✌  - Venezuela♥ ",198,468,Wed Dec 01 13:09:39 +0000 2010,1348699215.0,,,,,cyruskidrauhl,,,
251028427023462400,,"""Solo espero verla crecer y oírla decir que su primer beso fue conmigo"" - Justin Bieber. RIP Avalanna. :(.","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>",SwaggyGirl0,AvalannaR♥ Jusline∞.,In My House (Venezuelan).,"12. It's Joy BITCH! I Am Belieber, my music, my taste, my swag, my life, my problem♡#NSN, BTR. Follow me & I will follow you, PEACE.",2369,1484,Tue Mar 15 19:45:44 +0000 2011,1348699215.0,,,,,,,,
251028426780184576,,"O....RT @iKerisus ""RIP Avalanna"" wtf? That hoe was fucking Justin Bieber and pretended she had cancer for attention, smfh, fame whore!!",web,HaleyGotTWISTED,RIP Mrs.Bieber ♥,,"Stay strong, BELIEVE, Fight for your rights & chase your dreams.....♥",1717,1515,Sat Feb 05 03:02:37 +0000 2011,1348699215.0,,,,,iKerisus,,,
251028431716876289,,"RIP Avalanna, dicen que Justin Bieber le cantaba ""Baby, baby, baby noo ¡NOO TE MUERAS PUTA!""",web,LSDPractice,Reptilia ,Dos cuadras mas a la derecha.,Suelo comer corazones vivos en un mundo too mainstream,2863,79,Wed Apr 21 00:42:13 +0000 2010,1348699216.0,,,,,,,,
